Date,Open,High,Low,Close,Adj Close,Volume
08/05/2019,25933.78906,26118.09961,25222.50977,25532.05078,25532.05078,1.56E+09
15/05/2019,25400.13086,25957.63086,25341.93945,25877.33008,25877.33008,1.42E+09
22/05/2019,25818.46094,25878.21094,25328.08984,25347.76953,25347.76953,1.12E+09
29/05/2019,25231.46094,25343.76953,24680.57031,25332.17969,25332.17969,1.42E+09
05/06/2019,25451,26248.66992,25373.58008,26048.50977,26048.50977,1.28E+09
12/06/2019,26040.30078,26527.18945,25958.66016,26465.53906,26465.53906,1.12E+09
19/06/2019,26490.16016,26907.36914,26415.05078,26548.2207,26548.2207,1.52E+09
26/06/2019,26599.41992,26890.64063,26465.32031,26786.67969,26786.67969,1.51E+09
03/07/2019,26832.32031,26966,26665.57031,26783.49023,26783.49023,7.75E+08
10/07/2019,26851.96094,27398.67969,26813.10938,27335.63086,27335.63086,1.13E+09
17/07/2019,27320.91016,27368.81055,27068.78906,27349.18945,27349.18945,1.16E+09
24/07/2019,27262.24023,27298.42969,27062.48047,27198.01953,27198.01953,1.26E+09
31/07/2019,27244.66992,27281.65039,25523.38086,26029.51953,26029.51953,1.84E+09
07/08/2019,25814.2207,26426.9707,25440.39063,26279.91016,26279.91016,1.38E+09
14/08/2019,26035.08008,26222.32031,25339.59961,25962.43945,25962.43945,1.45E+09
21/08/2019,26145.35938,26388.7793,25507.17969,25777.90039,25777.90039,1.28E+09
28/08/2019,25712.99023,26514.61914,25637.42969,26118.01953,26118.01953,2.83E+09
04/09/2019,26301.99023,26909.42969,26244.43945,26909.42969,26909.42969,1.26E+09
11/09/2019,26928.05078,27306.73047,26885.48047,27110.80078,27110.80078,1.22E+09
18/09/2019,27075.39063,27272.16992,26704.96094,26807.76953,26807.76953,1.43E+09
25/09/2019,26866.71094,27046.21094,26562.2207,26573.03906,26573.03906,1.17E+09
02/10/2019,26425.85938,26655.83984,25743.46094,26164.03906,26164.03906,1.21E+09
09/10/2019,26308.23047,27120.10938,26249.75,27024.80078,27024.80078,1.11E+09
16/10/2019,26972.31055,27112.16016,26747.61914,26788.09961,26788.09961,1.23E+09
23/10/2019,26835.24023,27167.88086,26714.33984,27071.46094,27071.46094,1.34E+09
30/10/2019,27110.71094,27560.35938,26918.28906,27492.63086,27492.63086,1.33E+09
06/11/2019,27502.74023,27774.66992,27407.81055,27691.49023,27691.49023,1.13E+09
13/11/2019,27622.03906,28090.21094,27587.19922,27934.01953,27934.01953,1.36E+09
20/11/2019,27879.55078,28146.01953,27675.2793,28121.67969,28121.67969,1.28E+09
27/11/2019,28156.4707,28174.9707,28042.5293,28051.41016,28051.41016,3.19E+08
